Job_Title,Job_Description,CompanyName,CompanyLocation,CompanyType,CompanySize,PostedDate,JobType,LocationType,JobLink,_recordedDate (-06:00 GMT),User Language,Job_Title - Topics,Job_Title - Parent Topics,CompanyType - Topics,CompanyType - Parent Topics,CompanyLocation - Topics,CompanyLocation - Parent Topics,PostedDate - Topics,PostedDate - Parent Topics,LocationType - Topics,LocationType - Parent Topics,JobType - Topics,JobType - Parent Topics,CompanySize - Topics,CompanySize - Parent Topics,JobLink - Topics,JobLink - Parent Topics,CompanyName - Topics,CompanyName - Parent Topics,Job_Description - Topics,Job_Description - Parent Topics,CompanyName - Topic Hierarchy Level 1,LocationType - Topic Hierarchy Level 1,CompanyType - Topic Hierarchy Level 1,CompanySize - Topic Hierarchy Level 1,Job_Description - Topic Hierarchy Level 1,JobLink - Topic Hierarchy Level 1,JobType - Topic Hierarchy Level 1,Job_Title - Topic Hierarchy Level 1,CompanyLocation - Topic Hierarchy Level 1,PostedDate - Topic Hierarchy Level 1
Blockchain Developer - Remote,"Full Offer Description
Job Information
Date Opened

11/11/2022
Job Type

Full time
Industry

Technology
Work Experience

5+ years
City

Lisbon
State/Province

Lisbon
Country

Portugal
Zip/Postal Code

1200-629
Job Description
This is a remote position;
Build, maintain and test core components;
Participate in the choices of engineering methodologies, tools and organization;
Work autonomously within a high performing team;
Communicate on a regular basis with the team.

Requirements

5+ years full-time experience with frontend development in JavaScript and TypeScript;
Experience working with Solidity;
Solid knowledge of computer science fundamentals: algorithms, data structures, databases, distributed systems, operating systems, networking;
Strong understanding of Vue JS, Nuxt.js, SCSS, and knowledge of Bootstrap or similar component framework;
Passion for blockchain technology, cryptonomic protocol design, game theory;
Demonstrated ability to learn and write secure and high quality code;
Fluent written and spoken English.

Benefits

Attractive and transparent remuneration system;
Stable employment;
Professional development in an international environment;
Additional benefits package;
The ability to implement your own ideas;
Good work atmosphere.",Madiff,"Lisbon, Lisbon, Portugal",Not specified,Not specified,11/11/2022,Full-time,Remote,https://pt.indeed.com/viewjob?jk=b8adbd5d0e219226&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Blockchain Engineer,"Full job description
Introduction:
IT jobs
In-depth research on Blockchain technology in areas such as Blockchain core, Defi, NFT, games, oracles, cross-chain, blockchain as a service
Develop Blockchain applications on many platforms such as Ethereum, BSC, Polygon, Polkadot, Hyperledger, Cosmos…
Participate and organize Blockchain events and seminars inside and outside the company
Teaching blockchain at companies and universities.
Work location: Hanoi
Salary: 30,000K - 50,000K VND per month
Job type: Time agreement
Requirements: CV
Benefits: Health Care, Insurance, Travel, Training fee support, Saturday and Sunday
off Deadline: 2025-11-01
Experience: 2 - 3 years
Degree: University
Field: IT/IT - IT Software - Other IT, Developer, Software, Engineer, IT Support
Skills: Block Chain, Javascript, Node.js, Python, C++
Number of vacancies: 4
Gender: Not required",Viec Oi IT Software Clients,"Hanoi, Vietnam",IT / Software Company,Not specified,Not specified,Full-time,On-site,https://vn.indeed.com/viewjob?jk=bf9a55760e85a6d8&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Blockchain DevOps Engineer,"Full job description
Responsibilities
Maintain and support blockchain infrastructure
Review and propose configuration of blockchain software and network setup of nodes running the blockchain software
Develop deep understanding of the Blockchain technology (specifically public Blockchain)
Develop and share with others on security threats of various blockchain technologies
Define and maintain team continuous devops lifecycle and automation
Design and maintain cloud computing workload, manage cloud security posture
Software engineers or system administrators with an interest in blockchain/automation/infrastructure are welcomed to apply.
Requirements
Degree in Computer Science or Engineering or similar discipline
3 - 5 years working experiences in devops or system administration or related area, applicants with less experience will be considered for a Junior position
Understand basic blockchain (a plus if has experience in deploying blockchain)
Experience in deploying in various clouds (Amazon, Azure, Google)
Experience in developing and deploying infrastructure as code (Kubernetes, Terraform, Docker, Ansible, etc)
Experience in deploying and maintaining container infrastructures (Kubernetes, docker-compose, etc)
Experience in building, deploying and maintaining monitoring tools (Grafana, Prometheus, etc.)
Experience in building, deploying and maintaining logging tools (Fluentd, ElasticSearch, Kibana, etc.)
Good understanding of traditional security ops areas of expertise: Linux, Networking, Firewall, IDS/IPS
Able to troubleshoot and debug issues, and demonstrate a methodical approach to root cause analysis
A team player
Eager for constant learning from both success and failure, remaining open to change and continuous improvement
Enthusiastic about the future of blockchain
Curious and comfortable with ambiguity
#LI-CW1",Crypto.com,"Warsaw, Masovian Voivodeship, Poland",Blockchain / Cryptocurrency / Fintech,Not specified,Not specified,Full-time,Remote,https://pl.indeed.com/viewjob?jk=a1c4fad816685697&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Blockchain Developer,"Full job description
What will you be doing?
Building and developing an innovative blockchain solution

Creating software with the highest standards of security, quality and scalability

Building products that deliver real business value, using a short feedback loop and close collaboration with the customer

Providing high-quality solutions using Continuous Delivery and good programming practices

Providing high-quality solutions using Continuous Delivery and good programming practices.


Expectations:
Knowledge of Solidity and one of the following languages: Node.js, Javascript, Typescript, Python, Rust, Java, C++

Knowledge of Blockchain technology

Experience in creating high-quality code (including testing, of course)

Knowledge of computer networks, especially distributed systems

Independence in action

Polish and English at B2+ level

Openness to working in several technologies

Because we are excited about the opportunities that AI offers in the IT industry, it would be great if this area was also interesting for you, and your knowledge and competences could complement our current know-how.",Pragmatic Coders,"Krakow, Poland",IT / Software Development Company,Not specified,Not specified,Full-time,Not specified,https://pl.indeed.com/viewjob?jk=bd9bdcacc9eef2f7&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Blockchain Solution Architect,"Complete Job Description
Architecture & Design
Design end-to-end blockchain solutions, including on-chain/off-chain components, integrating with existing enterprise systems where necessary.
Evaluate and recommend technologies and tools that align with business strategies and user needs.
Document architectural designs and specifications, ensuring they are clear and accessible for development teams.
Develop proof of concepts (PoCs) to validate architectural approaches and assess feasibility.
Scalability & Performance
Assess and address performance bottlenecks specific to distributed ledger systems (transaction throughput, latency, etc.).
Evaluate Layer 2 solutions or sidechains to handle high-volume use cases and reduce costs.
Optimize blockchain node infrastructure, including monitoring and orchestration strategies.
Collaboration & Stakeholder Communication
Collaborate with Product Management to translate business requirements into technical specifications.
Mentor and guide technical teams during the development lifecycle, ensuring adherence to architectural principles and best practices.
Participate in code reviews and design discussions, providing constructive feedback.

Continuous Research & Innovation
Stay up-to-date with emerging technologies and industry trends to proactively address potential challenges in software architecture.
Drive innovation and recommend strategic improvements or pivots in blockchain adoption based on evolving business needs.",PT SMART Tbk (Smart Agribusiness and Food),"Jakarta, Jakarta, Indonesia","Public Company, Subsidiary of Golden Agri Resources (GAR), Agribusiness and Food","Over 10,001 employees",Not specified,Full-time,Not specified,https://id.indeed.com/viewjob?jk=33fe136e2422322a&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Senior Solution Architect - Blockchain,"Full job description
Ho Chi Minh

Posted on:

July 25, 2022

About Dirox
For more than 17 years, DIROX is an IT Advisory and Software Development company where multiculturalism, gender equality and social consciousness are seen as the foundation of our longevity. ‍

Participate with us to First class projects for leading international clients and partners from North America, Europe and Australia, Japan and other countries.‍

‍

Work in a stable environment where Personal Well-being, Teamwork, Independence and Communication are keys for project success and customer satisfaction.‍

‍

Grow your expertise and learn from great Tech People and great R&D projects.

‍

About the Job‍
Will you dare joining us, taking on some awesome challenges such as designing the next generation of fintech & digital investment solutions for top Wall Street firms, or enhancing the customer experience with a breakthrough insurance intelligence engine for international insurance & health management organizations?

You will be part of the Architecture team, composed of fourSolution Architects. Each of them will respectively be focusing ona specific domain: Front-End, Back-End, Mobile and DevOps.

Are you a hero and veteran in mastering software & solution architecture as well as design patterns?


‍

Well, you deserve the best:

‍

extra paid leave (up to 18 days)
extra insurance
extra bonus (Tet bonus, performance bonus)
welcoming and family inclusive working environment-hybrid working model
flexible time, guaranteed work-free weekend
... and many other extras!

Sign-in bonus for early successful applicants! ‍

Apply now and get the chance to experience yourself this game-changer opportunity!

‍

Your Missions‍
Design and implement cutting-edge cross-platform solutions that will be used by millions of consumers.
Ensure solution designs are consistent across every project by leveraging best common software engineering practices.
Ensure solution overall business-fit, resilience, performance and scalability.
Propose and consult technical solutions related to infrastructure and software architecture of applications.
Create and maintain software architecture documents.
Conduct troubleshooting for performance issues originating from applications in development and production environments.
Lead, inspire the tech lead and developer teams and ensure the high quality level of their skills & competencies.
‍

‍

Your Skills
‍

BS, MS, and/or Ph.D. degree in computer science, software engineering, or a related technical field
3+ years of experience in solution/software architect
Good understanding of Blockchain fundamentals, smart contracts, and p2p networks
Ability to architect, design and deploy blockchain networks and applications in local servers and/or cloud platforms
Very strong problem solving with deep system know-how across all layers
Great communication skills, fluent English.
Strong knowledge of OOP, design patterns, multithreading/concurrency programming, data structure, and algorithms
Experience in frameworks, such as NestJS, Django, Symfony, Spring, .Net Core, Vue, React
Expert in one or more programming languages, such as Java, Go, C/C++/C#, TypeScript, Python, Ruby, PHP, Kotlin, Swift, Dart
Experience in the good foundation of SQL and NoSQL databases, such as PostgreSQL, Oracle, MongoDB, Couchbase
Experience in distributed storage & messaging systems (RabbitMQ, Active, Kafka…), microservices, ETL, and mobile development
Experience with event-driven applications using queues, service bus, and other related patterns
Experience defining the architecture of cloud-deployed applications (AWS is preferred)
Experience with containerized applications using Docker, Kubernetes, or another similar tooling
Experience defining and driving SecDevOps best practices within large team.
Experience establishing legacy modernization and migration roadmaps for large-scale applications
Understanding of CI/CD software development environments
Experience in agile development teams, such as Scrum, Kanban
Interested in dealing with technical challenges and keen on exploring new things
Good problem-solving skills and teamwork spirit
Strong communication skills to effectively collaborate with other developers and stakeholders
Good English communication
‍

Your Benefits
‍
Sign-in bonus for early successful applicants!
A very attractive salary package, 100% salary during the probation period.
13th-month salary.
Sign-in bonus & performance bonus when applicable.
Social Insurance on Gross salary.
Health Insurance.
Social Insurance.
Unemployment Insurance
‍- PTI Premium medical Insurance.

14 to 18 annual leave days per year+public holidays/
1 additional annual leave day for every 2 working years.
Flexible working hours – Guaranteed work-free weekend.
Parking fees paid.
Free coffee, tea & soft drinks all day long.
Monthly event for celebrating birthdays (Dirox Open Coffee).
Relax room with entertainment & amenities for employees (Football, Ping pong table, tv, books, Game consoles).
Annual company trip.
Social activities such as team-building: movie theater, dinner, bowling, ….
Football, badminton club…",Dirox,"Ho Chi Minh City, Vietnam",IT Advisory and Software Development Company,Not specified,07/25/2022,Full-time,Hybrid,https://vn.indeed.com/viewjob?jk=640ac9cd105ec438&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Senior Backend Engineer (PHP) – Blockchain/Fintech,"Full job description
About the Client
Our client is a global fintech company at the forefront of crypto and Web3 payments adoption. Headquartered in Europe with international hubs, the company operates fully remotely with team members across 30+ countries. Recognized multiple times for its innovation, the company is committed to delivering secure, scalable, and regulation-ready crypto payment solutions for businesses worldwide. The culture is remote-first, collaborative, and growth-oriented, with a strong passion for the blockchain industry.

About the Role
As a Senior PHP Backend Engineer, you will design, build, and maintain backend systems for high-load fintech products. You'll work closely with cross-functional teams, implement complex features, and ensure systems remain scalable, secure, and high-performing. This role is a chance to shape the core backend of innovative crypto payment solutions while being part of a truly international engineering team.

Responsibilities
Collaborate with cross-functional teams to gather requirements, design solutions, and deliver features.
Design, develop, and maintain backend systems using PHP and MySQL (or similar).
Implement and optimize complex features with a focus on clean, reusable, and efficient code.
Write unit tests to ensure reliability and scalability of solutions.
Participate in code reviews and architecture discussions, ensuring adherence to best practices.
Monitor and troubleshoot production systems to maintain high availability, performance, and security.
Share on-call duties with the team to ensure smooth production operations.
Stay updated with new technologies and introduce improvements where beneficial.
Requirements
5+ years of experience in object-oriented PHP and modern PHP practices (SOLID, KISS, etc.).
Strong knowledge of Laravel framework (latest versions).
Solid understanding of relational databases (MySQL/PostgreSQL), including transaction management.
Experience with database query optimization, analyzing deadlocks, and improving DB performance.
Hands-on experience with message-driven services (Apache Kafka or similar).
Familiarity with monitoring tools (Prometheus, Grafana, or similar).
Strong knowledge of security best practices.
Experience working with Docker/Docker Compose.
Understanding of Agile values ​​and principles.
Good spoken and written English (B1+) and Russian.
Nice to Have
Experience in the crypto industry.
Participation in technical interviews.
What's in it for you?
Be part of a fast-scaling fintech company recognized as a leader in crypto payments.

Join a remote-first international team spread across 30+ countries.

Work on high-impact blockchain and Web3 products shaping the future of digital assets.

Competitive compensation and performance-based bonuses.

Flexible remote work setup and opportunities for professional growth.

Apply in 2 minutes and join a leading European fintech company driving innovation in crypto payments!",Evotym,"Warsaw, Masovian Voivodeship, Poland",Fintech / Blockchain,Not specified,Not specified,Full-time,Remote,https://pl.indeed.com/viewjob?jk=36d9dafb47c0b406&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Backend Blockchain Developer | Team Lead,"Full job description
Collaborate with frontend and mobile app developers to create a unified and secure ecosystem.
Implement and maintain the backend infrastructure, including smart contracts, for our blockchain-based features.
Integrate user identification systems and database management with decentralized identity solutions, ensuring robustness and security.
Develop APIs for user management with a focus on security and scalability.
Ensure user privacy through data obfuscation and transaction management.
Explore integration options with digital currencies and cryptocurrencies.
Provide technical leadership and guidance on blockchain-related decisions.

Qualifications:
Strong experience in backend development with expertise in blockchain technologies.
Knowledge of Decentralized Identity (DID) and security best practices.
Strong communication skills to convey technical concepts effectively.
Familiarity with Node.js, Python, and Rust.
Experience with API development and secure authentication mechanisms.

Are You the One?
Blockchain guru
Teamlead
3+ years of experience
Pro-active communicator with at least B2 English

Additional Information:
Location: Hybrid (Office - Gliwice) / Fully Remote
Allocation: 100%
Duration: 3 months for start, aiming for a longer cooperation
Compensation: PLN 110/150 net / hour
Start Date: ASAP",mindpal,"Gliwice, Poland",Blockchain / Software Development,Not specified,Not specified,Full-time,Hybrid / Fully Remote,https://pl.indeed.com/viewjob?jk=a333635faa4f9950&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
Senior Blockchain Developer,"Job Description
Our Sony R&D Center in Zaventem, Brussels is seeking a Senior Blockchain Developer to join an R&D team delivering new blockchain-based functionality that will contribute to new business opportunities for Sony devices and services. The team creates novel designs combining blockchain technology and new crypto techniques to obtain powerful new privacy-preserving features.
We are offering a unique multidisciplinary position that allows the candidate to apply their developer expertise but also support driving research in cutting-edge technologies for a diverse range of applications across Sony businesses.
We are committed to creating rewarding career paths and empowering our staff to make progress. Whether you want to hone your skills and become a subject matter expert and industry recognised authority, or lead teams and drive projects, we’re right behind you. You will feel supported to create your own career prospects here, and we have the structure, equality and diversity to ensure you will be able to find the right opportunities throughout your journey with Sony.
You will:
Research and prototype novel techniques combining blockchain technology and new crypto algorithms
Defend the new techniques/algorithms in clear presentations which are easy to understand, but still accurate and which convince stakeholders
Design clean SW architecture appropriate for the business context in which the SW is intended to run
Deliver well tested, high quality SW which runs reliably and predictably in the intended business context
You should be someone who:
Integrates well into a diverse team
Has a spontaneous curiosity and interest in Blockchain/Crypto
Can work independently and pro-actively
Possesses strong quality orientation, combined with a pragmatic attitude to deliver
Demonstrates presentation, communication and summarization skills
You will bring:
Hands-on experience developing proof-of-concepts and pilots in at least one of the blockchain platforms: Ethereum, Hyperledger, Multi-chain.
Experience in Open source tools and an understanding of cryptocurrencies.
Understanding of various distributed consensus methodologies (Mining, PoS, etc) and knowledge of layer 2 solutions (e.g. ZKP rollups)
Strong knowledge of cryptography, including asymmetric (pub/priv key), symmetric, hash functions, encryption/signatures.
Knowledge of versioning systems Git etc.
Hands-on experience in using a number of the following languages: Java, Rust, Golang, Scala, Haskell, Erlang, C, C++, Python
Sony R&D Center Brussels
Sony RDC Brussels is a mature software engineering group. It is wholly owned by Sony Corporation and exclusively writes software for Sony products. We are located near Brussels, Belgium. It takes 45 minutes to reach by train from Brussels Midi (Eurostar / Thalys terminal) and 5 minutes by shuttle bus from Brussels Airport. The group is international, and the working language is English.
What you can expect from us:
At Sony, we value our people, so on top of a competitive salary, bonus and excellent benefits including discounts on Sony products, you will be supported with your own career development, have access to an extensive range of Learning & Development courses, and some incredible internal mobility opportunities.
Bring your uniqueness to Sony:
We recognize that each and every one of us is original and different. Diversity and inclusion are in our DNA, they drive innovation. We empower our people to achieve one goal: to fill the world with emotion, through the power of creativity and technology.
Equal Opportunity
Sony Europe is an Equal Opportunity Employer. All qualified applicants will receive equal consideration for employment regardless of race, colour, religion, gender, citizenship, ancestry, age, physical or mental disability, sexual orientation, gender identity, medical condition, or any other protected characteristics.
Disability Accommodation for Applicants to Sony Europe
Sony Europe will provide reasonable accommodation for any qualified individuals with disabilities in the application process. For reasonable accommodation requests, please contact us by email at
AccommodationRequest@eu.sony.com
or by mail to: Sony Europe B.V, Human Resources Department, the Heights, Brooklands, Surrey, KT13 0XW, UK. When contacting us please indicate the position you are applying for, and the accommodation required.
#LI-CM1",Sony Electronics,"Zaventem, Brussels, Belgium",Electronics and technology company,Not specified,Not specified,Full-time,On-site,https://be.indeed.com/viewjob?jk=4f4ad5e60a23b87c&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
"BLOCKCHAIN ​​PROGRAMMING ENGINEER (Fresher, C++, Go, NodeJS or Python)","Full job description
Job Description:
Main job: Using NodeJS, Go language, Blockchain technology to develop Blockchain products on demand;
Extended work: Those who want to experience working with Image AI can receive additional training on Image AI;
Report to direct manager on work progress and technical solutions to handle customer requests;
Job requirements:
Good programming skills in one of the following languages: C++, Go, NodeJS or Python;
Experience in network programming is an advantage;
Ability to read and understand documents in English;
Priority is given to candidates with experience in self-research or good math background;
Withstand high work pressure;
We welcome even those with no experience, as long as you have solid basic math knowledge and are willing to learn, ANLab will have a training roadmap;
Final year students who love to research Blockchain and want to learn more about Image AI can submit CVs for part-time jobs with flexible hours to complete their studies at school and become official employees right after graduation;

Come to us you will get

Application method
Send your CV in English or Vietnamese, clearly stating your personal information, summary of your education, work history, and work experience to the email address recruit@anlab.vn . The email title should clearly state the Recruitment Position and Full Name.
Or fill in the details in the application form.

Contact information
AN Research Center Joint Stock Company
8th Floor, Building 18-4, No. 8 Pham Hung, Mai Dich, Cau Giay, Hanoi
Tel: 024-3768-8733
Email: recruit@anlab.vn

JOIN US !",Security Research Center (AN Research Center Joint Stock Company),"Hanoi, Vietnam",Joint Stock Company / Research Center,Not specified,Not specified,Not specified,Not specified,https://vn.indeed.com/viewjob?jk=1ad7f151b48cd3c0&from=shareddesktop_copy,2025-10-06 09:31:31,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,,,,,,,,,,
